threshold,pixel_precision_mean,pixel_precision_std,pixel_recall_mean,pixel_recall_std,pixel_f1_mean,pixel_f1_std,pixel_dice_mean,pixel_dice_std,pixel_iou_mean,pixel_iou_std,pixel_specificity_mean,pixel_specificity_std,image_accuracy,image_precision,image_recall_sensitivity,image_specificity,image_f1,image_roc_auc,selected
0.1,0.03343194612598219,0.0687741152240995,0.9999090088740292,0.0009842195108988381,0.05740961676352603,0.11078601468242161,0.05740961676352603,0.11078601468242161,0.03342865991658586,0.06876661589235898,3.668794504079164e-05,0.00017284784368806083,0.5128205128205128,0.5128205128205128,1.0,0.0,0.6779661016949152,0.5514619883040935,False
0.15,0.041078718015123014,0.09691220966759546,0.9770470456978669,0.06799016616830758,0.06552896512559703,0.1355281071182931,0.06552896512559701,0.13552810711829308,0.04033158832886666,0.09394488116110612,0.13878733843282992,0.122274495971145,0.5128205128205128,0.5128205128205128,1.0,0.0,0.6779661016949152,0.5514619883040935,False
0.2,0.07323774998322513,0.1363089109684347,0.8603084006961136,0.2663381884514789,0.10833031416212552,0.1732450257277933,0.10833031416212552,0.1732450257277933,0.06810670741568561,0.12044537000711086,0.7080023142518661,0.24613101275596125,0.5128205128205128,0.5128205128205128,1.0,0.0,0.6779661016949152,0.5514619883040935,False
0.25,0.10948267222298047,0.20533285325558348,0.7445038202239145,0.35072416069619017,0.12766015499656277,0.20351098002293966,0.12766015499656275,0.20351098002293966,0.08372193595036347,0.1455856033749983,0.8331446850772878,0.1941999647327175,0.5128205128205128,0.5128205128205128,1.0,0.0,0.6779661016949152,0.5514619883040935,False
0.3,0.17532043829137758,0.31016255194772746,0.6606696402919486,0.41574512812304815,0.16573208859769997,0.28381560135791517,0.16573208859769997,0.28381560135791517,0.12900586743578804,0.2571679276305496,0.8915022391896176,0.14258499044242404,0.5384615384615384,0.5283018867924528,0.9333333333333333,0.12280701754385964,0.6746987951807228,0.5514619883040935,False
0.35,0.2006236503421082,0.3447140423211819,0.6259757861377747,0.4345285023125402,0.18695464763107064,0.3196417908544349,0.18695464763107064,0.3196417908544349,0.15391699093821776,0.2956962376018873,0.9295367275377553,0.10599782430410544,0.5299145299145299,0.5252525252525253,0.8666666666666667,0.17543859649122806,0.6540880503144654,0.5514619883040935,False
0.4,0.25739917499018017,0.395115601469468,0.6021795840389875,0.4457806490322646,0.24307734374590495,0.37510027866416074,0.24307734374590495,0.37510027866416074,0.21385574529146636,0.3613073376092163,0.9429117489816603,0.09113056579754648,0.5299145299145299,0.5301204819277109,0.7333333333333333,0.3157894736842105,0.6153846153846154,0.5514619883040935,False
0.45,0.31489942363573376,0.4275220495128364,0.5873196236953492,0.45104375627497917,0.30503164677504707,0.41258725316449896,0.30503164677504707,0.41258725316449896,0.27698419381454126,0.40624791212813827,0.9515059826145484,0.07999230330416841,0.5213675213675214,0.5303030303030303,0.5833333333333334,0.45614035087719296,0.5555555555555556,0.5514619883040935,False
0.5,0.3490923948959609,0.44205271167592336,0.5732356803364155,0.4572032086390291,0.33062775318088233,0.42730258302451174,0.33062775318088233,0.42730258302451174,0.3048264647243482,0.42448712092895013,0.9589379942787116,0.06990569011161397,0.5384615384615384,0.55,0.55,0.5263157894736842,0.55,0.5514619883040935,False
0.55,0.3653030426210231,0.4505506435520229,0.5606940289516772,0.4623188411718422,0.33873227383776966,0.43532193516308115,0.33873227383776966,0.43532193516308115,0.31573062715081873,0.4337987090230185,0.9660299478798299,0.05951585677155693,0.5128205128205128,0.5283018867924528,0.4666666666666667,0.5614035087719298,0.49557522123893805,0.5514619883040935,False
