epoch,loss,dice_coefficient,iou_coefficient,val_loss,val_dice_coefficient,val_iou_coefficient,lr
0,0.728331654601627,0.04684128165762458,0.02605930761848059,0.6543751358985901,0.04335139779141173,0.024013212183490396,0.0001
1,0.6325527615017361,0.04603930662224805,0.02544424417060397,0.6150171682238579,0.04968456830829382,0.02860226883785799,0.0001
2,0.608488917350769,0.04810684103415244,0.02677447040203131,0.591618575155735,0.04161917685996741,0.022925866825971752,0.0001
3,0.5917164590623644,0.04919908294857393,0.02750877753173949,0.595192164182663,0.047181104484479874,0.02660471326089464,0.0001
4,0.5821527560551961,0.051561890149282086,0.029096769738114543,0.5807006731629372,0.04605060530593619,0.025848963763564825,0.0001
5,0.5741756187544929,0.05173535487718052,0.02921911313961674,0.595647070556879,0.03571438623475842,0.019896565761882812,0.0001
6,0.5660161972045898,0.054124587333838764,0.03085811657268399,0.5719186700880527,0.044672911753878,0.025103851192397997,3e-05
7,0.5597940444946289,0.05731826275975133,0.03308230242853622,0.5703560337424278,0.0438083479530178,0.024588408618001267,3e-05
8,0.5569079889191522,0.0573393806873355,0.03297307401371654,0.5629807151854038,0.039283215533941984,0.021973700844682753,3e-05
9,0.5528672814369202,0.058928246676158674,0.034079878036411375,0.5646344572305679,0.04836356404121034,0.027846003096783534,3e-05
