dice,iou,precision,recall,specificity,f1,auprc,boundary_f1,image_level_accuracy,image_level_precision,image_level_recall,image_level_f1,threshold,inference_mode
0.5107521794838692,0.34295983008849207,0.43648516404000315,0.6154737130368062,0.9772738929844876,0.5107521794838692,0.5495054952838487,0.2912389837515734,0.6349514563106796,0.6268221574344023,0.7818181818181819,0.6957928802588996,0.9,surface
0.48022156783798103,0.3159813020604743,0.36318591108346654,0.7085497762844901,0.9644668502202983,0.48022156783798103,0.5495054952838487,0.26425307222376826,0.6174757281553398,0.6005154639175257,0.8472727272727273,0.702865761689291,0.85,surface
0.4753882534674945,0.31180938658559587,0.3580802852976317,0.7070047066018476,0.9637504784370571,0.4753882534674945,0.35446444572913255,0.2912389837515734,0.6019417475728155,0.5821596244131455,0.9018181818181819,0.7075606276747504,0.9,edge_enhanced
0.4545632794162574,0.2941325732473599,0.32364736928419807,0.763332619404502,0.9543758701504952,0.4545632794162574,0.5495054952838487,0.23908092493901267,0.5941747572815534,0.5778301886792453,0.8909090909090909,0.7010014306151645,0.8,surface
0.4500925669566464,0.2903996441083308,0.3191822609861363,0.763053441296328,0.95344924358411,0.4500925669566464,0.35446444572913255,0.26425307222376826,0.5864077669902913,0.5704545454545454,0.9127272727272727,0.7020979020979021,0.85,edge_enhanced
0.42869596354259054,0.2728281437557489,0.29359227186811665,0.7941381121804989,0.9453504572988172,0.42869596354259054,0.5495054952838487,0.2169810590121173,0.5864077669902913,0.5691964285714286,0.9272727272727272,0.7053941908713693,0.75,surface
0.4273685937102943,0.27175382101682743,0.2919880577992406,0.7968105499488213,0.944740081476697,0.4273685937102943,0.35446444572913255,0.23908092493901267,0.5805825242718446,0.5642701525054467,0.9418181818181818,0.7057220708446866,0.8,edge_enhanced
0.40688203319113936,0.2553998144946892,0.27078442943322784,0.8180259550394506,0.9369944220463525,0.40688203319113936,0.35446444572913255,0.2169810590121173,0.5766990291262136,0.5612903225806452,0.9490909090909091,0.7054054054054054,0.75,edge_enhanced
0.4063744554213872,0.25499996332503627,0.2706700687975896,0.8149731104596086,0.937193187330548,0.4063744554213872,0.5495054952838487,0.19756004462973475,0.5766990291262136,0.5615550755939525,0.9454545454545454,0.7046070460704607,0.7,surface
0.388726631810737,0.24125430202299264,0.25351600655334544,0.8330003441775026,0.929848014652674,0.388726631810737,0.35446444572913255,0.19756004462973475,0.570873786407767,0.5569620253164557,0.96,0.7049399198931909,0.7,edge_enhanced
0.388380273278859,0.24098753995089348,0.2533539937726419,0.8315692899817861,0.9299085402359939,0.388380273278859,0.5495054952838487,0.17996522092328424,0.5650485436893203,0.554140127388535,0.9490909090909091,0.6997319034852547,0.65,surface
0.3737910638732117,0.22985426753556398,0.23998469638239428,0.8448441024689314,0.9234764627252131,0.3737910638732117,0.35446444572913255,0.17996522092328424,0.566990291262136,0.5543933054393305,0.9636363636363636,0.703851261620186,0.65,edge_enhanced
0.3724320396349468,0.2288273354505041,0.2389309684327937,0.84402574831978,0.9231069701913912,0.3724320396349468,0.5495054952838487,0.16433498453760662,0.5611650485436893,0.5509355509355509,0.9636363636363636,0.701058201058201,0.6,surface
0.3607762706489868,0.22008970721270738,0.22864360282949803,0.8547133682624727,0.9175299613065951,0.3607762706489868,0.35446444572913255,0.16433498453760662,0.5514563106796116,0.5450819672131147,0.9672727272727273,0.6972477064220184,0.6,edge_enhanced
0.3584102732677716,0.21833121116152943,0.226720117034035,0.8550863161169037,0.9165865119194685,0.3584102732677716,0.5495054952838487,0.14976744909243195,0.541747572815534,0.539553752535497,0.9672727272727273,0.6927083333333334,0.55,surface
0.34865347934792174,0.211132839163428,0.21842039301509536,0.8635373144983091,0.9116226826602496,0.34865347934792174,0.35446444572913255,0.14976744909243195,0.5398058252427185,0.5378486055776892,0.9818181818181818,0.694980694980695,0.55,edge_enhanced
0.345393274014515,0.2087464462643221,0.21578520168248289,0.8648554187723979,0.9101047888018257,0.345393274014515,0.5495054952838487,0.13592096290612313,0.5320388349514563,0.5335968379446641,0.9818181818181818,0.6914212548015365,0.5,surface
0.33691411658445414,0.2025837149747914,0.2088003507319537,0.8718647073051031,0.9055104825525531,0.33691411658445414,0.35446444572913255,0.13592096290612313,0.5300970873786408,0.5324165029469549,0.9854545454545455,0.6913265306122449,0.5,edge_enhanced
0.3324633360456115,0.19937392876100818,0.20524879399588514,0.8744582932413458,0.9031567505027238,0.3324633360456115,0.5495054952838487,0.12319185207390432,0.5281553398058253,0.5313725490196078,0.9854545454545455,0.6904458598726114,0.45,surface
0.32498302477545926,0.19401775001826138,0.199290626452418,0.879994970531698,0.898877475952735,0.32498302477545926,0.35446444572913255,0.12319185207390432,0.5300970873786408,0.5322896281800391,0.9890909090909091,0.6921119592875318,0.45,edge_enhanced
0.319144251777939,0.18987010165239726,0.19478290679317814,0.8827388011750114,0.8956303972645091,0.319144251777939,0.5495054952838487,0.11182712878906173,0.5300970873786408,0.5322896281800391,0.9890909090909091,0.6921119592875318,0.4,surface
0.3125327135438707,0.18520816139803484,0.18968676669087192,0.886932866189412,0.8916356782892725,0.3125327135438707,0.35446444572913255,0.11182712878906173,0.5300970873786408,0.5322896281800391,0.9890909090909091,0.6921119592875318,0.4,edge_enhanced
0.3047068252230533,0.17973695037328527,0.1838177090840631,0.8900645626013337,0.8869681074366258,0.3047068252230533,0.5495054952838487,0.10158217673815208,0.5300970873786408,0.5322896281800391,0.9890909090909091,0.6921119592875318,0.35,surface
0.29897924398585685,0.17576460659212026,0.17952857569563982,0.8934285522483009,0.8832197574521031,0.29897924398585685,0.35446444572913255,0.10158217673815208,0.5300970873786408,0.5322896281800391,0.9890909090909091,0.6921119592875318,0.35,edge_enhanced
0.2892815624432885,0.16909945908833912,0.17238836800327695,0.8986146585554878,0.8766123203207671,0.2892815624432885,0.5495054952838487,0.09203594799391056,0.5300970873786408,0.5322896281800391,0.9890909090909091,0.6921119592875318,0.3,surface
0.2842872958029883,0.16569632847478416,0.16875224402192224,0.9014778325122192,0.8729965110018326,0.2842872958029883,0.35446444572913255,0.09203594799391056,0.5300970873786408,0.5322896281800391,0.9890909090909091,0.6921119592875318,0.3,edge_enhanced
0.27187388332598494,0.157322941134203,0.15988367945927018,0.9076016362819754,0.8636013008550874,0.27187388332598494,0.5495054952838487,0.08231717859632141,0.5320388349514563,0.5330739299610895,0.9963636363636363,0.6945500633713562,0.25,surface
