mask_quartile,n,mean_dice,median_dice,mean_iou,median_iou,dice_lt_005_count,dice_lt_010_count,mean_pred_area_ratio,mean_gt_area_ratio
Q1,138,0.29992381878676694,0.30082581301619965,0.21014625741681675,0.17712319363039528,49,56,0.014767903252692229,0.011097783627717392
Q2,138,0.36230581187808997,0.4318400364441336,0.2613698907119313,0.2753971499805479,44,45,0.05302583998528079,0.033644180174994966
Q3,137,0.42900743666447305,0.4964650432445824,0.30925049295240076,0.3301985371650786,28,30,0.11858997205748176,0.07501260304199615
Q4,138,0.570412463507739,0.5817144944245147,0.4291822359988392,0.4101553705434037,9,9,0.1573060752880938,0.10078584975090579
