epoch,train_loss,val_loss,val_forged_dice_t050,val_q1_dice_t050,val_q2_dice_t050,val_smallmask_score_t050,lr,grad_accumulation_steps,batch_size,pos_weight,training_time_sec_total
1,0.8686517212863489,0.7621090311270494,0.26709033712205227,0.14812376371399721,0.17957961018418447,0.2138982197120622,0.0001,1,8,20.0,3864.2760004997253
2,0.7690509065222368,0.7322287101012009,0.29660253711138995,0.18390866284471383,0.21459149443324665,0.24639216629575844,0.0001,1,8,20.0,3864.2760004997253
3,0.7409765638062576,0.7069581976303687,0.33993451910115025,0.21045986325707153,0.2600492513276282,0.28511506879322224,0.0001,1,8,20.0,3864.2760004997253
4,0.7254661014988056,0.6956439852714539,0.31604577708468395,0.17598501521943272,0.24272229078889582,0.25936285126595093,0.0001,1,8,20.0,3864.2760004997253
5,0.7133670682896485,0.6814553288313059,0.3361058575638559,0.20749410357151954,0.25560697055327986,0.2814225539640398,0.0001,1,8,20.0,3864.2760004997253
6,0.7045769159140725,0.6711158202244685,0.33908666816705724,0.23900440305449622,0.2576211125701942,0.29276887751391634,0.0001,1,8,20.0,3864.2760004997253
7,0.6976491046907641,0.6547822539622967,0.3304733588040927,0.2159788751968314,0.2638524627335683,0.2828008345078094,0.0001,1,8,20.0,3864.2760004997253
8,0.6940533270549137,0.6615422212160551,0.3283357259878101,0.21016697539576268,0.2643156738182554,0.2800810903762849,0.0001,1,8,20.0,3864.2760004997253
9,0.6790571336225837,0.6506777240679814,0.3768835621224295,0.26878743337577277,0.3152436165631236,0.3321267343865713,0.0001,1,8,20.0,3864.2760004997253
10,0.6728795643373162,0.653291777922557,0.34678793330911795,0.2192599477986045,0.2787400884398891,0.2949199686821181,0.0001,1,8,20.0,3864.2760004997253
11,0.666736209711147,0.640173170199761,0.37008488143353835,0.26135198885726785,0.3139752563663647,0.32624308864722246,0.0001,1,8,20.0,3864.2760004997253
12,0.6603744223813437,0.6389638102971591,0.36625132133774063,0.2650762336155001,0.31903738818274385,0.3264560083900691,0.0001,1,8,20.0,3864.2760004997253
13,0.6577867573512954,0.6469477607653691,0.3561992248819392,0.25135387633821954,0.29923462602837875,0.3133527005481112,5e-05,1,8,20.0,3864.2760004997253
14,0.6443324505220809,0.6317063249074496,0.3740897071093703,0.2709453372223319,0.32260752192927117,0.33284995910723897,5e-05,1,8,20.0,3864.2760004997253
15,0.6385489996929211,0.6310037585405203,0.3718778089848213,0.25354613042721946,0.31682183963561594,0.3253671115476997,5e-05,1,8,20.0,3864.2760004997253
16,0.6350281143639825,0.6336894613045913,0.3715897948271862,0.25254054811719834,0.32328001669300926,0.3262130651873545,5e-05,1,8,20.0,3864.2760004997253
17,0.6254943359668111,0.6315785779402806,0.3834806481107347,0.2683688774378374,0.33515486481218026,0.3392819602491546,5e-05,1,8,20.0,3864.2760004997253
18,0.6235350646526617,0.630104301067499,0.3720700754270604,0.2481423625128729,0.3232348476127674,0.3251247159899456,5e-05,1,8,20.0,3864.2760004997253
19,0.6219193869683153,0.6377268947087802,0.37380540331248757,0.24387456714330102,0.3204083613493431,0.3241467440691027,5e-05,1,8,20.0,3864.2760004997253
20,0.6192277255727348,0.6346990874180427,0.37614466510837213,0.26517850669151344,0.3172413259409109,0.3310741497498223,5e-05,1,8,20.0,3864.2760004997253
21,0.6161693090319899,0.6319241198209616,0.3817245651407048,0.2759151450127016,0.31927817797182023,0.33749246166852687,2.5e-05,1,8,20.0,3864.2760004997253
22,0.6087266999257434,0.6295786013970008,0.3818222857614599,0.280450635044974,0.318447809358312,0.33873589526588455,2.5e-05,1,8,20.0,3864.2760004997253
23,0.6177706645432454,0.6261931616526384,0.3881890685891416,0.2850370037077071,0.32481360685320504,0.34456835677752395,2.5e-05,1,8,20.0,3864.2760004997253
24,0.6055227008986314,0.6326426918690021,0.39627008663144536,0.3195253568033182,0.3280559759168534,0.35960384554008884,2.5e-05,1,8,20.0,3864.2760004997253
25,0.5994447327669055,0.6363780814867753,0.39193579406016366,0.2929889945279798,0.33074354669117206,0.35001330472671016,2.5e-05,1,8,20.0,3864.2760004997253
26,0.6029147367036688,0.6305878286178296,0.38996208686922623,0.29971845099115585,0.3312388214673407,0.35114434302542796,2.5e-05,1,8,20.0,3864.2760004997253
27,0.5963368413841273,0.6303986498942742,0.3916147923756842,0.29991109891317114,0.3264884220343087,0.35107841026865516,2.5e-05,1,8,20.0,3864.2760004997253
28,0.5967587750313808,0.6304541225616749,0.3882825575508978,0.2757379419932647,0.32244154036924516,0.34135096944727733,1.25e-05,1,8,20.0,3864.2760004997253
29,0.5943351865213008,0.6423227883302248,0.39191781798090347,0.30611046341784987,0.3312812498620993,0.35404829798822657,1.25e-05,1,8,20.0,3864.2760004997253
30,0.5951729041165392,0.6435370495686165,0.3887402050462654,0.3033968576737744,0.3253801205662129,0.3504651839385076,1.25e-05,1,8,20.0,3864.2760004997253
31,0.585688971663371,0.6468124985694885,0.39183571947592943,0.31280367646953805,0.325767740766407,0.3549125108321075,1.25e-05,1,8,20.0,3864.2760004997253
32,0.5847228528529339,0.6487940008823688,0.3931222573013994,0.2965235849800546,0.32744510880714106,0.3510072259061443,6.25e-06,1,8,20.0,3864.2760004997253
