mask_quartile,n,mean_dice,median_dice,mean_iou,median_iou,dice_lt_005_count,dice_lt_010_count,mean_pred_area_ratio,mean_gt_area_ratio
Q1,138,0.2833055025462513,0.232015111821607,0.2002922166670432,0.1312509394294472,64,64,0.007993492335321055,0.011097783627717392
Q2,138,0.3173700881170198,0.3204266130148591,0.2302757448400978,0.19085255047964853,57,57,0.03409693129780595,0.033644180174994966
Q3,137,0.41265720384409443,0.4821327283334014,0.2989675935109744,0.317638266119758,33,34,0.07994739195242802,0.07501260304199615
Q4,138,0.568471227401717,0.5736662568589435,0.43196119531543475,0.4021965141368976,11,11,0.11254253786735105,0.10078584975090579
