threshold,pixel_precision_mean,pixel_precision_std,pixel_recall_mean,pixel_recall_std,pixel_f1_mean,pixel_f1_std,pixel_dice_mean,pixel_dice_std,pixel_iou_mean,pixel_iou_std,pixel_specificity_mean,pixel_specificity_std,image_accuracy,image_precision,image_recall_sensitivity,image_specificity,image_f1,image_roc_auc,selected
0.1,0.1259050834802411,0.21093132054431127,0.7657242331375762,0.364917322275422,0.15624737221178148,0.2368334339202445,0.15624737221178148,0.2368334339202445,0.10753356326676633,0.1819383663343139,0.9016328858056921,0.09410507386722934,0.5078125,0.5079365079365079,0.9846153846153847,0.015873015873015872,0.6701570680628273,0.5074481074481074,False
0.15,0.14851189579283977,0.2455267620420274,0.7371161444866654,0.37580698273353325,0.17197115834690668,0.26128106161622616,0.17197115834690668,0.26128106161622616,0.12371319725201525,0.21363502498715084,0.9252042004078299,0.07670561337472959,0.515625,0.5121951219512195,0.9692307692307692,0.047619047619047616,0.6702127659574468,0.5074481074481074,False
0.2,0.16327479707213077,0.2633353443220731,0.7157893190751904,0.3829950261199014,0.17861446588362073,0.2706355790965848,0.17861446588362073,0.2706355790965848,0.13068875523815415,0.22637496018469513,0.9389331645914895,0.0676971222016434,0.5234375,0.5163934426229508,0.9692307692307692,0.06349206349206349,0.6737967914438503,0.5074481074481074,False
0.25,0.16583670461406985,0.2692821512249771,0.6974665552858679,0.3908821948038838,0.17508252599128948,0.26832088889154976,0.17508252599128948,0.26832088889154976,0.12799001075848823,0.22475504967046828,0.948192401320935,0.061359129180670914,0.515625,0.512396694214876,0.9538461538461539,0.06349206349206349,0.6666666666666666,0.5074481074481074,False
0.3,0.1859888793498777,0.29264116429552284,0.6826367968677528,0.39814260497277965,0.18632594023193075,0.2836258554482366,0.18632594023193075,0.2836258554482366,0.14025382036353579,0.24738485652151185,0.9549778697913954,0.05613378660161898,0.5078125,0.5086206896551724,0.9076923076923077,0.09523809523809523,0.6519337016574586,0.5074481074481074,False
0.35,0.20561388910277173,0.31367683842593796,0.6705363438120231,0.4043045860132311,0.19724100253684418,0.2986218386494204,0.1972410025368442,0.29862183864942043,0.1525639252474524,0.2682445167666156,0.9603746203151124,0.051903445612109696,0.515625,0.5132743362831859,0.8923076923076924,0.12698412698412698,0.651685393258427,0.5074481074481074,False
0.4,0.22465800034128208,0.3323413195090344,0.6601990715040831,0.40906025962391296,0.20894329938796735,0.31320242497177203,0.20894329938796735,0.31320242497177203,0.16552509992417527,0.2873056448701636,0.9649721324354676,0.04819795063303434,0.515625,0.5137614678899083,0.8615384615384616,0.15873015873015872,0.6436781609195402,0.5074481074481074,False
0.45,0.23580494906343452,0.34290673676335426,0.6503963135456816,0.41332515949268767,0.2128108884211964,0.31983181165881164,0.21281088842119641,0.31983181165881164,0.1706389074217119,0.2959879875991598,0.9689378892269807,0.04470966475384007,0.515625,0.514018691588785,0.8461538461538461,0.1746031746031746,0.6395348837209303,0.5074481074481074,False
0.5,0.23945270716119071,0.34645704381153575,0.6399610043347026,0.4177281247435769,0.20830688369992753,0.3189852021884907,0.20830688369992753,0.3189852021884907,0.1674970591924067,0.2955335605669328,0.9727387992361972,0.040991623439775915,0.5078125,0.5094339622641509,0.8307692307692308,0.1746031746031746,0.631578947368421,0.5074481074481074,False
0.55,0.23735914054606322,0.3484640142976254,0.6286275547614979,0.4223187244186722,0.2032567720758583,0.3181208832438996,0.2032567720758583,0.31812088324389953,0.1639973974352955,0.294989901700456,0.9765601666508907,0.03653465696609932,0.5,0.5047619047619047,0.8153846153846154,0.1746031746031746,0.6235294117647059,0.5074481074481074,False
