epoch,train_loss,train_mask_loss,train_edge_loss,val_loss,val_mask_loss,val_edge_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_auprc,lr,seconds
1,1.8357441749232914,1.8357441749232914,0.0,1.734528921200679,1.734528921200679,0.0,0.18814585377308796,0.10384161118315816,0.10556777648949683,0.8639582127911669,0.18814585377308796,0.2789350767117492,0.0001,309.89231395721436
2,1.7300667592836647,1.7300667592836647,0.0,1.6311655099575335,1.6311655099575335,0.0,0.2250980479080542,0.12682280710928723,0.1293682536189412,0.8656918875316216,0.2250980479080542,0.3324248140647392,0.0001,241.33672046661377
3,1.6801936244115,1.6801936244115,0.0,1.6326548429635854,1.6326548429635854,0.0,0.20377866994287147,0.1134485302746017,0.11495823541109415,0.896251234723694,0.20377866994287147,0.3542719814610694,0.0001,241.1302604675293
4,1.673619728045899,1.673619728045899,0.0,1.5822804285929752,1.5822804285929752,0.0,0.23255585796790224,0.13157748663022747,0.13383044692611412,0.8865695084226665,0.23255585796790224,0.37934466293331115,0.0001,242.07283115386963
5,1.6452832463589437,1.6452832463589437,0.0,1.6147811504510732,1.6147811504510732,0.0,0.20616329662687116,0.11492868678581607,0.11654959926347125,0.8920529074480998,0.20616329662687116,0.3968800992269155,0.0001,240.45020413398743
6,1.6436442479258921,1.6436442479258921,0.0,1.5752376409677358,1.5752376409677358,0.0,0.2541733915244916,0.14558913828586964,0.14906240159551112,0.8620359329928999,0.2541733915244916,0.4282488308035985,0.0001,241.29983687400818
7,1.6334371001258459,1.6334371001258459,0.0,1.6261921552511363,1.6261921552511363,0.0,0.23761021436112278,0.13482273688677082,0.1376778071460528,0.866692453346795,0.23761021436112278,0.36607796865066866,0.0001,241.53198719024658
8,1.6292009674892127,1.6292009674892127,0.0,1.5325491410035355,1.5325491410035355,0.0,0.23874286976464323,0.13555253555324998,0.13793852129101447,0.8868337686166632,0.23874286976464323,0.46241368069449396,0.0001,242.38055086135864
9,1.610759766701866,1.610759766701866,0.0,1.5456133402310885,1.5456133402310885,0.0,0.2511519146279614,0.14360990913314975,0.14720730563031936,0.8545791070348776,0.2511519146279614,0.40828397826703383,0.0001,242.33543300628662
10,1.598210191408085,1.598210191408085,0.0,1.5504033107023973,1.5504033107023973,0.0,0.27160217119350705,0.15714100461527192,0.16168292644786664,0.8483444844740904,0.27160217119350705,0.47391331278944765,0.0001,242.0206835269928
11,1.580240296627206,1.580240296627206,0.0,1.5389298787483803,1.5389298787483803,0.0,0.2563340321248134,0.14700867990053132,0.15047829450030606,0.8644217336959596,0.2563340321248134,0.47346005761469045,0.0001,242.5947208404541
12,1.579361853195989,1.579361853195989,0.0,1.5423420355870174,1.5423420355870174,0.0,0.27460388220553,0.15915410923524573,0.164173433358793,0.8388566910573669,0.27460388220553,0.470973903783772,0.0001,242.5421130657196
13,1.5742032607573444,1.5742032607573444,0.0,1.5426342358955971,1.5426342358955971,0.0,0.27118017564621577,0.1568585527688406,0.16164683203162344,0.8411529842753632,0.27118017564621577,0.46638765882858946,0.0001,242.58445739746094
14,1.5716108858983606,1.5716108858983606,0.0,1.614748897919288,1.614748897919288,0.0,0.30451943970761397,0.17960656514699264,0.18737681212133858,0.8124232127005994,0.30451943970761397,0.4511367185290711,0.0001,241.0644040107727
15,1.565316938610544,1.565316938610544,0.0,1.5089999143893902,1.5089999143893902,0.0,0.2700945649273734,0.15613256045758017,0.1602711022974483,0.8580848168665286,0.2700945649273734,0.47548491051407404,0.0001,242.5696096420288
16,1.5604030488594072,1.5604030488594072,0.0,1.561073066638066,1.561073066638066,0.0,0.27124008642541253,0.15689864410643617,0.16067585519368274,0.8696930852270166,0.27124008642541253,0.4650892919867093,0.0001,244.02839636802673
17,1.548587645348037,1.548587645348037,0.0,1.5045162255947406,1.5045162255947406,0.0,0.30789558645456283,0.18196015800788234,0.1885243567237771,0.8393809491841671,0.30789558645456283,0.4757094660528519,0.0001,240.969486951828
18,1.543938677135714,1.543938677135714,0.0,1.4998048103772676,1.4998048103772676,0.0,0.23536074656442274,0.1333761255203854,0.13533650433507868,0.902035123163269,0.23536074656442274,0.48225565038799534,0.0001,240.28442692756653
19,1.5473390796402249,1.5473390796402249,0.0,1.4914929940150334,1.4914929940150334,0.0,0.30522236054037866,0.1800958151877072,0.18588838471766744,0.8524948613112577,0.30522236054037866,0.47472537362097866,0.0001,241.60509061813354
20,1.521272614963336,1.521272614963336,0.0,1.4751898453785823,1.4751898453785823,0.0,0.27494994914011484,0.15938665026157392,0.1629901948666152,0.8781845750897602,0.27494994914011484,0.49447178292941063,0.0001,243.03956866264343
21,1.51527265583752,1.51527265583752,0.0,1.5114197419239925,1.5114197419239925,0.0,0.2616950133708827,0.1505460867821336,0.1538024685172978,0.8767023737597218,0.2616950133708827,0.5067583965420871,5e-05,244.49016571044922
22,1.4871497151580844,1.4871497151580844,0.0,1.4457214942345253,1.4457214942345253,0.0,0.3197497433022294,0.1902988807932932,0.196103283040777,0.8653977915092703,0.3197497433022294,0.5426242527945392,5e-05,243.65561652183533
23,1.47119392690255,1.47119392690255,0.0,1.4757035108713004,1.4757035108713004,0.0,0.28510351973861947,0.166251154527511,0.17020175464703333,0.8774887609499219,0.28510351973861947,0.5291944613499461,5e-05,242.2005090713501
24,1.4700005118193764,1.4700005118193764,0.0,1.4653093117934006,1.4653093117934006,0.0,0.3026033224928403,0.17827495864858842,0.1829933573102802,0.8736420702227912,0.3026033224928403,0.5131089816471179,5e-05,241.93657422065735
25,1.452421075782691,1.452421075782691,0.0,1.450975513458252,1.450975513458252,0.0,0.29625839794029885,0.17388693073065992,0.17846106246766283,0.8715354476279055,0.29625839794029885,0.5442063441060273,5e-05,241.8672046661377
26,1.4416875982603146,1.4416875982603146,0.0,1.4646449932685266,1.4646449932685266,0.0,0.31838441901586023,0.18933246255338015,0.19519423416058881,0.863101498291274,0.31838441901586023,0.5441352067966979,2.5e-05,238.75297045707703
27,1.4376520680425426,1.4376520680425426,0.0,1.4162081223267775,1.4162081223267775,0.0,0.3419416965401731,0.20623020060672914,0.213125332019001,0.864397225694097,0.3419416965401731,0.550279273153617,2.5e-05,238.42612862586975
28,1.4173120369093455,1.4173120369093455,0.0,1.4151117911705604,1.4151117911705604,0.0,0.32004131370087774,0.19050546677782607,0.19581962732693733,0.8753096799147467,0.32004131370087774,0.5527347132414595,2.5e-05,239.10806584358215
29,1.4144818275702291,1.4144818275702291,0.0,1.429468846321106,1.429468846321106,0.0,0.3429079103168289,0.2069335267796682,0.2140216150206665,0.8620359329928999,0.3429079103168289,0.5510318530444364,2.5e-05,240.04796743392944
