dice,iou,precision,recall,specificity,f1,auprc,boundary_f1,image_level_accuracy,image_level_precision,image_level_recall,image_level_f1,threshold,inference_mode
0.5081494001457998,0.3406168152464206,0.41568035807353715,0.6535282465376423,0.9737254663768926,0.5081494001457998,0.5684373308504915,0.21686027629145163,0.6563106796116505,0.6361111111111111,0.8327272727272728,0.721259842519685,0.9,surface
0.4798612151057171,0.31566934537433616,0.3632359069643966,0.7067937246727695,0.9645625757274522,0.4798612151057171,0.5684373308504915,0.2084548806950624,0.6485436893203883,0.6223958333333334,0.8690909090909091,0.7253414264036419,0.85,surface
0.45704556532632784,0.29621455764051186,0.32908129773281575,0.7478488900538273,0.9563925972152534,0.45704556532632784,0.5684373308504915,0.19280453053032517,0.629126213592233,0.6029411764705882,0.8945454545454545,0.7203513909224012,0.8,surface
0.4405354725931907,0.28249149939033563,0.30762355526442375,0.7756729311249732,0.9500677651866994,0.4405354725931907,0.5684373308504915,0.17885059173420967,0.6174757281553398,0.5915492957746479,0.9163636363636364,0.7189728958630528,0.75,surface
0.4226727813481886,0.2679677218208785,0.2878650138485018,0.7949490073725616,0.9437539045629769,0.4226727813481886,0.5684373308504915,0.16319481215932113,0.6077669902912621,0.5820224719101124,0.9418181818181818,0.7194444444444444,0.7,surface
0.40489297286094095,0.25383436093761436,0.2696924499238214,0.8119192003144684,0.9371175455894604,0.40489297286094095,0.5684373308504915,0.14892257904060993,0.6038834951456311,0.5783664459161147,0.9527272727272728,0.7197802197802198,0.65,surface
0.3867105015106367,0.2397031046645633,0.2524286763018212,0.8262329389675284,0.930016425716836,0.3867105015106367,0.5684373308504915,0.13703707962938225,0.6019417475728155,0.5757575757575758,0.9672727272727273,0.7218453188602443,0.6,surface
0.3703406936275952,0.2272503781492633,0.23767439246643163,0.8382258764007294,0.9231048673387985,0.3703406936275952,0.5684373308504915,0.12648835373607265,0.6038834951456311,0.576017130620985,0.9781818181818182,0.7250673854447439,0.55,surface
0.35418927567996206,0.21520656685858838,0.22374181488518458,0.8494292299478353,0.9157119690499079,0.35418927567996206,0.5684373308504915,0.11572866815200175,0.5922330097087378,0.5684210526315789,0.9818181818181818,0.72,0.5,surface
0.336791886405674,0.20249533636403425,0.2093030479518486,0.8616054446123568,0.9069058014381107,0.336791886405674,0.5684373308504915,0.10496343533962708,0.5844660194174758,0.5636743215031316,0.9818181818181818,0.7161803713527851,0.45,surface
0.3192085594023325,0.1899156264675087,0.19528673430395918,0.8734992844728091,0.8970537237085113,0.3192085594023325,0.5684373308504915,0.09536528769521002,0.5689320388349515,0.5539714867617108,0.9890909090909091,0.7101827676240209,0.4,surface
0.3014047494340895,0.17744353714263145,0.18158729798234727,0.8860516436876565,0.8857843538075669,0.3014047494340895,0.5684373308504915,0.08551769288683195,0.5592233009708738,0.5483870967741935,0.9890909090909091,0.7055771725032426,0.35,surface
0.28228732328811346,0.1643390813348825,0.16749929862330865,0.897017376173225,0.8724876816266519,0.28228732328811346,0.5684373308504915,0.07484454749751973,0.5398058252427185,0.5374015748031497,0.9927272727272727,0.6973180076628352,0.3,surface
0.2605185562516185,0.1497679421576531,0.15210911235127966,0.9068088556999852,0.8554293413947939,0.2605185562516185,0.5684373308504915,0.0637610761182842,0.5359223300970873,0.53515625,0.9963636363636363,0.6963151207115629,0.25,surface
0.23432430174431276,0.13271083810906045,0.134313443948177,0.91750819686096,0.8308660421641424,0.23432430174431276,0.5684373308504915,0.052986983023984795,0.5339805825242718,0.5341130604288499,0.9963636363636363,0.6954314720812182,0.2,surface
0.20196912403165745,0.11232795094404902,0.11326607613482931,0.9313285787808727,0.7914663864651118,0.20196912403165745,0.5684373308504915,0.04149816893615732,0.5320388349514563,0.5330739299610895,0.9963636363636363,0.6945500633713562,0.15,surface
0.16610879956549252,0.09057723791146173,0.09102045425859032,0.9489828646443357,0.7289476646008607,0.16610879956549252,0.5684373308504915,0.030703854420294028,0.5339805825242718,0.5339805825242718,1.0,0.6962025316455697,0.1,surface
