epoch,train_loss,train_mask_loss,train_edge_loss,val_loss,val_mask_loss,val_edge_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_auprc,lr,seconds
1,2.5688699141377063,1.8551101987239778,1.7843992468508951,2.390177407631507,1.7311493488458487,1.64757009102748,0.17535880324041936,0.09610591033012014,0.09732553368580123,0.8846493597549963,0.17535880324041936,0.20867314293559208,0.0001,435.17203736305237
2,2.3840849051762265,1.7387347558558917,1.613375325776421,2.217034736046424,1.6009591029240535,1.5401890626320471,0.25715344836386766,0.14754795717526578,0.1518115477382919,0.8400938123687793,0.25715344836386766,0.2992739490453178,0.0001,354.6507933139801
3,2.336033093637241,1.7026195239383553,1.583533877784797,2.2842877259621255,1.6572098291837252,1.567694698847257,0.1987817191525256,0.11035959454009021,0.1119760739197777,0.8843232967736937,0.1987817191525256,0.1783187547480432,0.0001,355.7169976234436
4,2.287862479819487,1.6648188380727789,1.5576090393193847,2.177402380796579,1.5751568115674532,1.5056138625511757,0.2363192844208472,0.13399210091337044,0.13656872321789423,0.8765734403586185,0.2363192844208472,0.2913311555998034,0.0001,353.5990333557129
5,2.264929587166665,1.647077863890769,1.5446292615945727,2.1568227291107176,1.558344923532926,1.4961945056915282,0.22879476731275153,0.12917462250584436,0.13134618699911196,0.8865322136372233,0.22879476731275153,0.26839559967290516,0.0001,352.3627870082855
6,2.2578809009097465,1.6421726182733718,1.5392706683590045,2.180942814166729,1.572503559405987,1.5210981130599976,0.25237802363914336,0.14441225107770747,0.14789972968042622,0.8596362799409614,0.25237802363914336,0.30128040135228723,5e-05,353.6661298274994
7,2.193670551070657,1.591295073717368,1.5059386603285316,2.1117418215825006,1.5239642143249512,1.4694439722941472,0.2436799193851863,0.13874459563195576,0.14111323211508808,0.8920763498846641,0.2436799193851863,0.3082504569383988,5e-05,351.88788747787476
8,2.173759716921766,1.5752405894625692,1.496297780814309,2.0865917535928578,1.5016222201860867,1.4624237904181847,0.2533964388765506,0.14507953866392045,0.14775916181586463,0.8888881785119286,0.2533964388765506,0.3183527699903904,5e-05,357.67132329940796
9,2.1453079861362685,1.5512345349602816,1.4851835910355329,2.070786791581374,1.4896873419101422,1.45274857374338,0.26765398400832585,0.15450376630162335,0.15788979572598802,0.8781153133453659,0.26765398400832585,0.33545253216676074,5e-05,358.9813859462738
10,2.143151976748936,1.5501371574295655,1.4825370078097473,2.0736437210669885,1.4882627102044912,1.463452489559467,0.2905272880749932,0.1699514043414215,0.17470368927476165,0.8620263429052145,0.2905272880749932,0.391036308778027,5e-05,356.1538290977478
11,2.1356792718105697,1.5430401072470277,1.4815978791506625,2.075125822654137,1.4927057357934805,1.4560501868908222,0.2698330858718486,0.15595783485885248,0.1593104695929845,0.8811052895726038,0.2698330858718486,0.3097785891899659,5e-05,354.65898060798645
12,2.1278113001969983,1.5375278901416634,1.4757084965971372,2.050622226641728,1.4730154055815476,1.4440169957967905,0.270586666397124,0.15646153590906603,0.15973162810652114,0.8842934609453392,0.270586666397124,0.34275986681024423,5e-05,352.2014718055725
13,2.103816909885619,1.5165665407223266,1.4681258759148137,2.038370988919185,1.4614825927294217,1.4422209647985604,0.26490446485776425,0.15267428190116836,0.15537881085020877,0.8976599120481447,0.26490446485776425,0.3325465187139788,5e-05,354.6636395454407
14,2.09464253508434,1.5081210924947182,1.4663035659853758,2.085173245576712,1.5025191637185904,1.4566351578785823,0.32684846389353783,0.1953489907161287,0.20333951704580414,0.8325282987503229,0.32684846389353783,0.36608931513774656,5e-05,355.9137978553772
15,2.0845464730846857,1.5017025173374168,1.4571098471537465,2.044996102039631,1.4699324956307045,1.4376589738405667,0.2772544780600343,0.1609375700177824,0.16427734058464166,0.8878449900848203,0.2772544780600343,0.33730230496408264,5e-05,354.6585602760315
16,2.0890095990590902,1.5047887170766139,1.46055217123775,2.022557674921476,1.4530830933497503,1.4236864144985493,0.28433364825843394,0.16572782229470664,0.16968675511933007,0.876594751664586,0.28433364825843394,0.3298621996201893,5e-05,353.68720865249634
17,2.077242245918393,1.497225614857833,1.4500415362334729,2.0337227803010207,1.4579163532990675,1.439516076674828,0.30584266828800344,0.18052790172618755,0.18573155333068775,0.8656545927461785,0.30584266828800344,0.34658958735012707,5e-05,353.7310400009155
18,2.053170160886174,1.475517920768075,1.444130552372582,2.053360548386207,1.4794244692875789,1.434840154647827,0.24866040558941788,0.14198297485137668,0.14430557445864856,0.8981831046096463,0.24866040558941788,0.3238303934186933,2.5e-05,358.6644539833069
19,2.0252994182115143,1.4532729323563438,1.430066177998991,2.01417301434737,1.4461636451574473,1.4200233752910907,0.2999607792250996,0.17644344645670795,0.18108254785356798,0.8732137129728448,0.2999607792250996,0.3683396586368578,2.5e-05,354.3160436153412
20,2.000038903380821,1.4321981312702918,1.4196018864689002,1.99519113944127,1.4291351593457735,1.4151398933850803,0.29488993348634057,0.17294480824295705,0.17711515497709696,0.8801675921100345,0.29488993348634057,0.36690112374994677,2.5e-05,354.25462770462036
21,1.9988280972818488,1.4315833309976456,1.4181118717703363,2.0037948498359093,1.438585325387808,1.4130238092862644,0.2781134336811326,0.1615166986729544,0.16489513989728488,0.8874294196184543,0.2781134336811326,0.3447940818939723,2.5e-05,354.1321442127228
22,2.012801104770737,1.443121295994799,1.4241994858319085,2.028521827551035,1.4583980046785794,1.4253095480111928,0.31677020835433484,0.18819189746198228,0.19429673824936985,0.8569286785177926,0.31677020835433484,0.38510239232455007,1.25e-05,353.3902885913849
