epoch,binary_accuracy,dice_coefficient,iou_coefficient,learning_rate,loss,precision,recall,val_binary_accuracy,val_dice_coefficient,val_iou_coefficient,val_loss,val_precision,val_recall
0,0.8027711510658264,0.043385572731494904,0.023867694661021233,9.999999747378752e-05,0.7361447811126709,0.04149876907467842,0.2807151675224304,0.40857282280921936,0.045336026698350906,0.025413058698177338,0.846242368221283,0.02733084373176098,0.5695441961288452
1,0.8654952645301819,0.04988449066877365,0.027756642550230026,9.999999747378752e-05,0.69590163230896,0.06544262915849686,0.29458436369895935,0.5494532585144043,0.048905301839113235,0.027788521721959114,0.8259130120277405,0.03866144269704819,0.6188421249389648
2,0.8990268111228943,0.05439816415309906,0.030784469097852707,9.999999747378752e-05,0.6689354777336121,0.10497117787599564,0.35709336400032043,0.7666295766830444,0.058357760310173035,0.0341133251786232,0.7805489897727966,0.0825098380446434,0.7083069086074829
3,0.9235723614692688,0.06069885939359665,0.034744467586278915,9.999999747378752e-05,0.6434687972068787,0.15338818728923798,0.3963376581668854,0.8834134340286255,0.06447446346282959,0.03822588920593262,0.7001215815544128,0.14335164427757263,0.6190896034240723
4,0.9436175227165222,0.06772636622190475,0.03969041258096695,9.999999747378752e-05,0.6190842986106873,0.2278154343366623,0.4432463049888611,0.9251830577850342,0.06724399328231812,0.04011661559343338,0.6427323818206787,0.1897863745689392,0.49511536955833435
5,0.9525169730186462,0.07256417721509933,0.043061621487140656,9.999999747378752e-05,0.599683403968811,0.2745266556739807,0.4469223916530609,0.9530571699142456,0.06511776149272919,0.03863281011581421,0.6097935438156128,0.26848432421684265,0.3728301227092743
6,0.9594744443893433,0.08120845258235931,0.04891051724553108,9.999999747378752e-05,0.5817399621009827,0.3338577449321747,0.48230329155921936,0.9565660357475281,0.06759427487850189,0.040479227900505066,0.6052221655845642,0.2966473400592804,0.379412442445755
7,0.9662812948226929,0.08297519385814667,0.05052027106285095,9.999999747378752e-05,0.5663341283798218,0.4006563723087311,0.46669986844062805,0.9603648781776428,0.06956107914447784,0.041942305862903595,0.586885392665863,0.3296128511428833,0.37453651428222656
8,0.9680473208427429,0.08972011506557465,0.05521925166249275,9.999999747378752e-05,0.5538088083267212,0.42541787028312683,0.4761125147342682,0.967740535736084,0.06962835043668747,0.04226473346352577,0.5724380016326904,0.4219128489494324,0.34869351983070374
9,0.9703965783119202,0.09684974700212479,0.060668282210826874,9.999999747378752e-05,0.5420863628387451,0.4636818766593933,0.5180010795593262,0.9686363935470581,0.07032185792922974,0.042464230209589005,0.5721167325973511,0.433052122592926,0.3160467743873596
10,0.9682480692863464,0.10049832612276077,0.06267918646335602,9.999999747378752e-05,0.5375985503196716,0.43114298582077026,0.49971434473991394,0.9730343818664551,0.06750292330980301,0.041156549006700516,0.5535421967506409,0.5530539155006409,0.29297828674316406
11,0.9708725810050964,0.10381655395030975,0.06593319773674011,9.999999747378752e-05,0.5298923254013062,0.4716746211051941,0.5309383869171143,0.9701470136642456,0.07023543864488602,0.042433835566043854,0.5520354509353638,0.46430325508117676,0.29166269302368164
12,0.9730190634727478,0.10996560007333755,0.07012045383453369,9.999999747378752e-05,0.5229874849319458,0.5067328810691833,0.5504614114761353,0.9711447358131409,0.05754770338535309,0.033343490213155746,0.5510303378105164,0.4873860478401184,0.19175560772418976
13,0.9703428745269775,0.10875444114208221,0.06908141821622849,9.999999747378752e-05,0.5228970646858215,0.46270665526390076,0.5155566334724426,0.9718312621116638,0.06331966072320938,0.03830428421497345,0.5458786487579346,0.5131489634513855,0.275180846452713
14,0.97372967004776,0.11639876663684845,0.075104720890522,2.9999999242136255e-05,0.514302670955658,0.5182099342346191,0.5774770975112915,0.9719381928443909,0.061423223465681076,0.03613373637199402,0.5451464056968689,0.5196853876113892,0.2355523258447647
15,0.9761514067649841,0.11909778416156769,0.07776228338479996,2.9999999242136255e-05,0.5096437931060791,0.5582274794578552,0.6184743642807007,0.9721990823745728,0.06658272445201874,0.040047142654657364,0.543743908405304,0.5258998274803162,0.273878276348114
16,0.9763965010643005,0.12062298506498337,0.0788591206073761,2.9999999242136255e-05,0.5087176561355591,0.5655719637870789,0.5950208306312561,0.9734436273574829,0.06277994811534882,0.037614718079566956,0.544073224067688,0.5813299417495728,0.2520819306373596
17,0.9765693545341492,0.12231875211000443,0.08015482127666473,2.9999999242136255e-05,0.5083921551704407,0.5688266158103943,0.5962696075439453,0.9727709889411926,0.06775293499231339,0.04089681804180145,0.5424101948738098,0.5466431975364685,0.27536752820014954
