threshold,pixel_precision_mean,pixel_precision_std,pixel_recall_mean,pixel_recall_std,pixel_f1_mean,pixel_f1_std,pixel_dice_mean,pixel_dice_std,pixel_iou_mean,pixel_iou_std,pixel_specificity_mean,pixel_specificity_std,image_accuracy,image_precision,image_recall_sensitivity,image_specificity,image_f1,image_roc_auc,selected
0.1,0.02588083361920427,0.04466929228806481,0.9981563650117659,0.017106535632180904,0.04705987162879659,0.07856041783802445,0.04705987162879659,0.07856041783802445,0.02587794467497634,0.04466448653534957,0.0015834543108017292,0.01075353710954878,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.5593406593406594,False
0.15,0.025983773787994564,0.04505135575865934,0.9914027616117794,0.04711259478860065,0.047180048426887514,0.0790778024889817,0.047180048426887514,0.0790778024889817,0.025966928390706336,0.04501723145924208,0.013887206604075178,0.03186835789962927,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.5593406593406594,False
0.2,0.028826595164927627,0.051426914482842374,0.9633613003179823,0.0915335473623105,0.05139941966084124,0.0879264861099753,0.051399419660841245,0.08792648610997532,0.02866084048745241,0.051065656993404124,0.13063787453264653,0.0901530993178952,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.5593406593406594,False
0.25,0.04320389157065401,0.07946244159392138,0.8894911389770505,0.19831931212854437,0.07155835225359658,0.12229433995979606,0.07155835225359658,0.12229433995979608,0.04190997146933057,0.07658659564321012,0.49757813663485295,0.15754011308241453,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.5593406593406594,False
0.3,0.06760148086116052,0.12062519898477608,0.8085829869258168,0.2797028009202555,0.10074202437066893,0.16557038761067813,0.10074202437066893,0.16557038761067813,0.06264079768340135,0.11156000948985967,0.7410134894332701,0.14565982615068554,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.5593406593406594,False
0.35,0.08341899165424582,0.14758652158094143,0.7377942020454455,0.34006332222800406,0.11320514959638649,0.18674305656203152,0.11320514959638647,0.18674305656203152,0.07274772677579927,0.13067007117739965,0.849485834430462,0.10072408430839933,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.5593406593406594,False
0.4,0.09696725708612958,0.16881289955822695,0.684877992098871,0.39217214089225316,0.11854764025071757,0.19886939856352628,0.11854764025071758,0.1988693985635263,0.07777417243112052,0.14183481268983608,0.911207185085077,0.08250559045289924,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.5593406593406594,False
0.45,0.11321664546995247,0.19295755439018583,0.6573717760953074,0.4171803789470646,0.12017060750199077,0.20820228425612863,0.12017060750199077,0.20820228425612863,0.08040351039562331,0.1512012168139844,0.9385275792023472,0.07725777001816876,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.5593406593406594,False
0.5,0.13188184774888195,0.22123636069183147,0.6406848574891627,0.429731952455615,0.11710114729212429,0.2119941327066975,0.11710114729212429,0.2119941327066975,0.07946283853114555,0.15598301953335275,0.9506609293468885,0.07186878717289728,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.5593406593406594,False
0.55,0.16142665378227336,0.27088957699767835,0.629487737566164,0.43733675941022493,0.13475915179311634,0.2514502959986927,0.13475915179311634,0.2514502959986927,0.09991793414995691,0.2108003215626465,0.9566373225130045,0.06706917693333624,0.53125,0.52,1.0,0.047619047619047616,0.6842105263157895,0.5593406593406594,False
0.6,0.1886020773863582,0.31607987469739074,0.6215546772138706,0.441596174198164,0.162235472793423,0.2930765361889239,0.162235472793423,0.2930765361889239,0.12922786333892583,0.26334735817126104,0.9610470040117625,0.06266892075698334,0.53125,0.5213675213675214,0.9384615384615385,0.1111111111111111,0.6703296703296703,0.5593406593406594,False
0.65,0.23310168951157778,0.36486464640743477,0.6145036431671826,0.4450260925911071,0.2058357628672624,0.3408403849054642,0.2058357628672624,0.3408403849054642,0.1743016367060391,0.32055736705913435,0.9647013219521615,0.05882448602816801,0.5390625,0.5283018867924528,0.8615384615384616,0.20634920634920634,0.6549707602339181,0.5593406593406594,False
0.7,0.27490798007190137,0.3945201924995867,0.6076419965712968,0.44824680480981366,0.2419113825025264,0.3718400874999602,0.2419113825025264,0.3718400874999602,0.21162838024641048,0.3569811256770648,0.968036582645244,0.05508599247455232,0.5390625,0.53125,0.7846153846153846,0.2857142857142857,0.6335403726708074,0.5593406593406594,False
0.75,0.30958700205883716,0.41465326980819467,0.6012087682508427,0.45126531027824934,0.27040010275813,0.3926126210109514,0.27040010275813,0.3926126210109514,0.24127339611691706,0.38108754589221744,0.9711130984290751,0.0514377659520793,0.546875,0.5393258426966292,0.7384615384615385,0.3492063492063492,0.6233766233766234,0.5593406593406594,False
