epoch,loss,dice_coefficient,iou_coefficient,val_loss,val_dice_coefficient,val_iou_coefficient,lr
0,0.7779511640901151,0.043577503347162,0.02398107242618647,0.700295094648997,0.05501947187197705,0.03138605233592292,0.0001
1,0.6854048462017722,0.04972969715919276,0.02749049109903297,0.629511046409607,0.06165184566440682,0.03604184446545939,0.0001
2,0.6315154770146245,0.05004829061143615,0.027953243236780327,0.5848565697669983,0.06528170816600323,0.03844576246726016,0.0001
3,0.5972104811150095,0.05484599577756664,0.0310751943025785,0.5670783996582032,0.06794053221431871,0.04019498873967677,0.0001
4,0.5704797324926957,0.0590589160893245,0.03385807830657841,0.5465176502863566,0.07295324010774493,0.044160532345995304,0.0001
5,0.553033841692883,0.06334526814826369,0.036854663273828685,0.5319845040639242,0.07789835349346201,0.04804077975762387,0.0001
6,0.5394451644109644,0.0716151635101794,0.04237696699514661,0.5266302704811097,0.07347099302957455,0.045194501988589764,0.0001
7,0.533003836222317,0.07497482630725293,0.045099383560944985,0.5290962000687917,0.07434659861028195,0.045647977370147905,0.0001
8,0.5226917532475098,0.08056701522922426,0.049136407832084616,0.5220189650853475,0.06963897955914339,0.04227524562738836,0.0001
9,0.5119999932206195,0.0926147654004719,0.057211760461897306,0.5226975858211518,0.0690425797055165,0.04049217477440834,0.0001
10,0.5098949554173843,0.0928194784864284,0.05833830158239015,0.5050151407718658,0.08953217777113119,0.055161112112303574,0.0001
11,0.5063156835410906,0.09395302262097675,0.05861381625241557,0.5055808862050374,0.0900303391739726,0.05630579252416889,0.0001
12,0.5003157303385113,0.1024242183024775,0.06470901044624804,0.49805460969607035,0.1090300173809131,0.06993970753004154,0.0001
13,0.4931637087593908,0.11225597407547352,0.07178809119226492,0.49397903084754946,0.11727414292593798,0.07526274162034194,0.0001
14,0.487007108071576,0.11821689970447155,0.07634888744012089,0.4934104283650716,0.11571845101813476,0.07288792741795382,0.0001
15,0.48025871230208356,0.12863879724013957,0.08433248238610727,0.49170916676521303,0.11663877529402573,0.07403958700597287,0.0001
16,0.47688019016514654,0.13155951630324125,0.08665715520391645,0.48874619404474895,0.13319909398754437,0.08665214000890652,0.0001
17,0.4688785691624102,0.14478333732214474,0.0975552506532277,0.4867540200551351,0.1264136206358671,0.07975188146034877,0.0001
18,0.4647941019224084,0.14921209458949758,0.10068378748716043,0.485659650961558,0.1373952517906825,0.0890533696860075,0.0001
19,0.4603625652582749,0.1578398303450865,0.10807746611112105,0.480578617254893,0.14751647487282754,0.09667483841379483,0.0001
20,0.45522639284963196,0.16714516366862328,0.11457899323684852,0.48632020751635235,0.12722455337643623,0.08053816109895706,0.0001
21,0.4552246733852055,0.1640803042859973,0.11338230828835588,0.47956977486610414,0.14188032522797583,0.09192078287402788,0.0001
22,0.4467242638701978,0.1752490908094273,0.12212775833545539,0.4773368140061696,0.15831626777847607,0.10501847676932811,0.0001
23,0.44055215236933337,0.18556872155171025,0.13216395987094393,0.4740248143672943,0.1564382679760456,0.10389463913937409,0.0001
24,0.4332217962845512,0.19599231988515542,0.13898794847014156,0.4854298710823059,0.14712311898668606,0.09693306510647139,0.0001
25,0.4356353075607963,0.19120945913375972,0.13483976457655683,0.47686999837557476,0.16150243431329728,0.10988081445296606,0.0001
26,0.43640276336151623,0.19720162970058838,0.14115115147591417,0.46930930614471433,0.1579782967766126,0.10469342755774656,0.0001
27,0.42931083751761395,0.2035537009760236,0.14794363070270294,0.46599068442980446,0.17559207727511725,0.11980024948716164,0.0001
28,0.4271337344594624,0.2091984591730263,0.1502517446997049,0.47704694867134095,0.1543623906870683,0.10342751381297906,0.0001
29,0.42291955325914465,0.21424671045235388,0.15619889146055285,0.4661693572998047,0.17603772977987925,0.11873565192023913,0.0001
30,0.4208819704211276,0.21689414567527915,0.15990945136889478,0.47750688592592877,0.16271553387244542,0.10877561544378599,0.0001
31,0.41193845900504483,0.23288665865750416,0.1712109505239388,0.4656986673672994,0.170890773832798,0.11532831651469072,0.0001
32,0.4163957996212918,0.2250721530864683,0.16616761460873783,0.4703295469284058,0.1860990531742573,0.12679729834198952,0.0001
33,0.41611494447873987,0.2227857154616242,0.16611899314289977,0.4755930741628011,0.1626627820233504,0.10840526185929775,0.0001
34,0.41127952479797864,0.23206342417601072,0.1734858959526154,0.46592552661895753,0.17546400551994643,0.1204948643843333,0.0001
35,0.40791576906390814,0.23793795248812274,0.17861786419376272,0.4796869456768036,0.15137176662683488,0.10134762624899546,0.0001
36,0.4084394159524337,0.2359980045745778,0.17816268029186036,0.4817796329657237,0.17002888495723406,0.11455833688378333,0.0001
37,0.39557869699986087,0.2597393878614125,0.1986463692687128,0.4739999890327454,0.17212161322434744,0.11776641110579172,3e-05
38,0.40066075648950494,0.25341171123411343,0.19337517081800362,0.4696834663550059,0.17428576399882634,0.11859283993641535,3e-05
39,0.38527173840481305,0.2739658005859541,0.21317110874730608,0.46558748483657836,0.18096630821625392,0.12404502357045809,3e-05
