sample_id,image_id,gt_area,surface_area,edge_area,area_delta_edge_minus_surface,change_pixels,surface_dice,edge_dice,dice_delta_edge_minus_surface
forged__1580,1580,583,285,333,48,48,0.6129032258064516,0.6637554585152838,0.05085223270883221
forged__65532,65532,62,36,70,34,46,0.0,0.0,0.0
forged__43915,43915,1346,27,53,26,46,0.0,0.005718370264474625,0.005718370264474625
forged__36010,36010,128,20,32,12,44,0.0,0.0,0.0
forged__36597,36597,821,417,461,44,44,0.6655896607431341,0.6583463338533542,-0.007243326889779911
forged__5967,5967,1836,9,44,35,43,0.0,0.0,0.0
forged__58425,58425,324,121,163,42,42,0.0,0.0,0.0
forged__12150,12150,1167,40,82,42,42,0.0,0.0,0.0
forged__42632,42632,6695,2,42,40,40,0.0005972823652381663,0.012171589728365741,0.011574307363127576
forged__40349,40349,229,5,41,36,38,0.017094017094017096,0.13333333333333333,0.11623931623931624
forged__1008,1008,4014,0,38,38,38,0.0,0.0,0.0
forged__28496,28496,158,18,54,36,36,0.20454545454545456,0.4811320754716981,0.27658662092624353
forged__36390,36390,701,340,369,29,35,0.6186359269932757,0.6186915887850467,5.566179177096675e-05
forged__55025,55025,2006,9,34,25,33,0.008933002481389578,0.024509803921568627,0.015576801440179049
forged__8130,8130,615,9,37,28,32,0.0,0.0,0.0
forged__59022,59022,457,41,70,29,31,0.0,0.0,0.0
forged__35471,35471,81,2,29,27,27,0.0,0.01818181818181818,0.01818181818181818
forged__56723,56723,548,0,27,27,27,0.0,0.09043478260869565,0.09043478260869565
forged__42121,42121,355,6,32,26,26,0.0,0.0,0.0
forged__9977,9977,1339,3,23,20,26,0.0,0.0014684287812041115,0.0014684287812041115
forged__59951,59951,6800,5,23,18,26,0.0,0.0,0.0
forged__38486,38486,149,19,42,23,25,0.0,0.0,0.0
forged__1419,1419,524,17,32,15,25,0.0,0.0,0.0
forged__56997,56997,266,33,39,6,20,0.0,0.0,0.0
forged__65214,65214,969,3,15,12,18,0.006172839506172839,0.03048780487804878,0.02431496537187594
forged__14624,14624,3800,0,18,18,18,0.0,0.0,0.0
forged__12572,12572,797,5,14,9,17,0.012468827930174564,0.032059186189889025,0.01959035825971446
forged__6454,6454,984,1,13,12,12,0.0,0.0,0.0
forged__2622,2622,171,0,10,10,10,0.0,0.0,0.0
forged__33127,33127,1977,0,10,10,10,0.0,0.0,0.0
forged__46106,46106,220,0,6,6,6,0.0,0.0,0.0
forged__8481,8481,396,0,6,6,6,0.0,0.0,0.0
forged__2305,2305,6968,0,6,6,6,0.0,0.0017206767995411529,0.0017206767995411529
forged__9086,9086,620,0,5,5,5,0.0,0.0,0.0
forged__63427,63427,462,0,4,4,4,0.0,0.017167381974248927,0.017167381974248927
forged__55394,55394,971,0,4,4,4,0.0,0.0,0.0
forged__54790,54790,2422,0,4,4,4,0.0,0.0016488046166529267,0.0016488046166529267
forged__2577,2577,87,0,3,3,3,0.0,0.0,0.0
forged__38034,38034,185,0,3,3,3,0.0,0.0,0.0
forged__54553,54553,1067,0,3,3,3,0.0,0.0,0.0
forged__63117,63117,1751,0,3,3,3,0.0,0.0,0.0
forged__3062,3062,171,0,2,2,2,0.0,0.023121387283236993,0.023121387283236993
forged__40582,40582,313,0,2,2,2,0.0,0.0,0.0
forged__12300,12300,489,0,2,2,2,0.0,0.004073319755600814,0.004073319755600814
forged__7498,7498,798,0,2,2,2,0.0,0.0025,0.0025
forged__59255,59255,1123,0,2,2,2,0.0,0.0035555555555555557,0.0035555555555555557
forged__11740,11740,153,0,1,1,1,0.0,0.0,0.0
forged__41080,41080,4516,0,1,1,1,0.0,0.00044277175116227583,0.00044277175116227583
forged__49733,49733,87,0,0,0,0,0.0,0.0,0.0
forged__4992,4992,108,0,0,0,0,0.0,0.0,0.0
forged__38548,38548,112,0,0,0,0,0.0,0.0,0.0
forged__59375,59375,134,0,0,0,0,0.0,0.0,0.0
forged__7610,7610,136,0,0,0,0,0.0,0.0,0.0
forged__27409,27409,147,0,0,0,0,0.0,0.0,0.0
forged__35715,35715,154,0,0,0,0,0.0,0.0,0.0
forged__7130,7130,169,0,0,0,0,0.0,0.0,0.0
forged__45381,45381,189,0,0,0,0,0.0,0.0,0.0
forged__55541,55541,211,0,0,0,0,0.0,0.0,0.0
forged__25638,25638,219,0,0,0,0,0.0,0.0,0.0
forged__64717,64717,221,0,0,0,0,0.0,0.0,0.0
forged__13971,13971,241,0,0,0,0,0.0,0.0,0.0
forged__39549,39549,255,0,0,0,0,0.0,0.0,0.0
forged__40974,40974,286,0,0,0,0,0.0,0.0,0.0
forged__1608,1608,293,0,0,0,0,0.0,0.0,0.0
forged__45958,45958,294,0,0,0,0,0.0,0.0,0.0
forged__1813,1813,312,0,0,0,0,0.0,0.0,0.0
forged__46206,46206,317,0,0,0,0,0.0,0.0,0.0
