epoch,binary_accuracy,dice_coefficient,iou_coefficient,learning_rate,loss,precision,recall,val_binary_accuracy,val_dice_coefficient,val_iou_coefficient,val_loss,val_precision,val_recall
0,0.7706509828567505,0.04369635879993439,0.02420842833817005,9.999999747378752e-05,0.7592685222625732,0.039135247468948364,0.2926854193210602,0.8494477272033691,0.0433848612010479,0.023578401654958725,0.7774096727371216,0.030521588400006294,0.15644417703151703
1,0.9357264637947083,0.04369916021823883,0.023952441290020943,9.999999747378752e-05,0.6754586100578308,0.06183575466275215,0.08552781492471695,0.6683094501495361,0.04572566598653793,0.02493908628821373,0.9229955673217773,0.03587730601429939,0.4563300311565399
2,0.9608546495437622,0.04039663448929787,0.021953994408249855,9.999999747378752e-05,0.6328307390213013,0.07766185700893402,0.03192750737071037,0.9678151607513428,0.042691394686698914,0.023048823699355125,0.6541812419891357,0.026597464457154274,0.006816529203206301
3,0.9659709334373474,0.03958359733223915,0.02150852046906948,9.999999747378752e-05,0.6126767992973328,0.08795152604579926,0.01826745644211769,0.9693607091903687,0.041023917496204376,0.022032838314771652,0.6297132968902588,0.02179613709449768,0.004170003812760115
4,0.9678713083267212,0.03768317028880119,0.020391497761011124,9.999999747378752e-05,0.6015644073486328,0.11373119801282883,0.015570257790386677,0.9737517833709717,0.03968553617596626,0.0212443545460701,0.605981707572937,0.034141670912504196,0.0004924838431179523
5,0.9690450429916382,0.03550426661968231,0.019114889204502106,9.999999747378752e-05,0.5960744619369507,0.06159709393978119,0.004592526704072952,0.9705942869186401,0.03922516480088234,0.020972181111574173,0.6013910174369812,0.0721871480345726,0.01141918171197176
6,0.9696833491325378,0.03673804551362991,0.01982615888118744,2.9999999242136255e-05,0.5904081463813782,0.1306934654712677,0.007679502014070749,0.9732184410095215,0.03903207555413246,0.02086358703672886,0.5917322635650635,0.10561126470565796,0.004556626547127962
7,0.9695993661880493,0.036311082541942596,0.019556859508156776,2.9999999242136255e-05,0.5892313718795776,0.14001435041427612,0.00900206621736288,0.9732851982116699,0.03853093087673187,0.020576156675815582,0.5869567394256592,0.11028740555047989,0.004450765438377857
8,0.9692649245262146,0.03837255388498306,0.020831650123000145,2.9999999242136255e-05,0.5832163095474243,0.12867464125156403,0.01001518964767456,0.9735934734344482,0.03886924311518669,0.020782481878995895,0.5814338326454163,0.13188907504081726,0.0035026189871132374
9,0.9701820611953735,0.035378191620111465,0.019036980345845222,2.9999999242136255e-05,0.5867449641227722,0.11626186221837997,0.003973643761128187,0.9734562635421753,0.03847600147128105,0.020556116476655006,0.5810810327529907,0.13136692345142365,0.004427751991897821
