threshold,pixel_precision_mean,pixel_precision_std,pixel_recall_mean,pixel_recall_std,pixel_f1_mean,pixel_f1_std,pixel_dice_mean,pixel_dice_std,pixel_iou_mean,pixel_iou_std,pixel_specificity_mean,pixel_specificity_std,image_accuracy,image_precision,image_recall_sensitivity,image_specificity,image_f1,image_roc_auc,selected
0.1,0.025777031338072888,0.04506236902348572,0.9728158005878051,0.06692369834837113,0.04658783879831747,0.07854181707259496,0.04658783879831747,0.07854181707259496,0.025634479446606045,0.04478974800842826,0.05372030824841538,0.07045542691229155,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.38144078144078153,False
0.15,0.02594095396064258,0.045516888008936,0.9648603067178322,0.07678521557243013,0.046721625643080036,0.07896123275906612,0.04672162564308003,0.07896123275906612,0.025725633959200165,0.045073850771361716,0.07218706988895182,0.08299691330629158,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.38144078144078153,False
0.2,0.026012708821380112,0.045721437617081535,0.9581484275438792,0.08397687401082163,0.046708293218836267,0.07897402154772322,0.046708293218836267,0.07897402154772322,0.02571930586538377,0.04508319497256104,0.08657645341137052,0.09250302585986936,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.38144078144078153,False
0.25,0.025985381111000204,0.04559060812140969,0.950962676156936,0.0908367991641599,0.046520322487529187,0.07841138880079287,0.046520322487529187,0.07841138880079287,0.025592397523727668,0.04469696576839082,0.10054165507214267,0.1014371922649199,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.38144078144078153,False
0.3,0.02625790855249328,0.04605152735146667,0.9436018426828237,0.0979743973055561,0.04679879147144291,0.07879908464589795,0.04679879147144291,0.07879908464589795,0.02575549112656205,0.04489672416162993,0.12048814563609067,0.10868937013477242,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.38144078144078153,False
0.35,0.029333618883106656,0.04985451805463237,0.9118467688266001,0.12089730314468651,0.05162450307423241,0.0836582382607028,0.051624503074232414,0.0836582382607028,0.028544611921337795,0.04813897697054562,0.31338930695265577,0.17229931802558512,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.38144078144078153,False
0.4,0.042306834986442304,0.06586149269027357,0.8226516621403799,0.2073791040661799,0.0686751608480508,0.09871296602457369,0.06867516084805078,0.09871296602457369,0.03844378385960047,0.05695469219664782,0.49560036932492163,0.2794511969381088,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.38144078144078153,False
0.45,0.05093120953587128,0.10295682255198547,0.7066073106252126,0.3658522759822592,0.054332601984990125,0.0852161297699323,0.054332601984990125,0.0852161297699323,0.030034503308208414,0.04859693061149026,0.6140825913309349,0.2987450567948846,0.5078125,0.5078125,1.0,0.0,0.6735751295336787,0.38144078144078153,False
0.5,0.03397044745493411,0.06603749141347241,0.6718146659546718,0.39766425793776905,0.0425414045200002,0.08415735856359736,0.0425414045200002,0.08415735856359735,0.02380313151936557,0.04861018109999741,0.6724325956955702,0.2835790231453011,0.453125,0.4793388429752066,0.8923076923076924,0.0,0.6236559139784946,0.38144078144078153,False
0.55,0.09797505507915712,0.2561908312161728,0.6514544693783851,0.40908390594282784,0.11032384468404735,0.25901075712525606,0.11032384468404735,0.25901075712525606,0.09273426680742333,0.2549542035801602,0.7117189916625875,0.26537800665243244,0.4375,0.46534653465346537,0.7230769230769231,0.14285714285714285,0.5662650602409639,0.38144078144078153,False
0.6,0.12111612790196885,0.2903020528999339,0.6320352431648774,0.41980884778088046,0.12991967836848484,0.29131351266846667,0.12991967836848484,0.29131351266846667,0.11393615078329891,0.28955219557902234,0.7451796654042716,0.24816775667840982,0.421875,0.45161290322580644,0.6461538461538462,0.19047619047619047,0.5316455696202531,0.38144078144078153,False
0.65,0.1442166067820414,0.3194800037080447,0.6135536005579719,0.4297383868412936,0.1491147436216538,0.3199206854209811,0.14911474362165378,0.3199206854209811,0.1350672745725335,0.3193406009697121,0.7779080062703396,0.22857794258434197,0.4296875,0.45454545454545453,0.6153846153846154,0.23809523809523808,0.5228758169934641,0.38144078144078153,False
0.7,0.1432346520998774,0.320641340651441,0.5960595264673761,0.4387336458443937,0.14580480179166677,0.3212631718005049,0.14580480179166677,0.3212631718005049,0.13343652888005453,0.32019990378336377,0.8103214240370965,0.2074132614174361,0.4296875,0.45454545454545453,0.6153846153846154,0.23809523809523808,0.5228758169934641,0.38144078144078153,False
0.75,0.14331552091434807,0.3242656326696194,0.5777582935854825,0.4490660070758549,0.1437100185763278,0.3226226227151728,0.1437100185763278,0.3226226227151728,0.13252141873256706,0.3209397462681527,0.8454812581972807,0.184182082553556,0.421875,0.4482758620689655,0.6,0.23809523809523808,0.5131578947368421,0.38144078144078153,False
0.8,0.1513664808694521,0.3349158587848491,0.558314904687162,0.46091668497196236,0.14925015026997818,0.331987410567367,0.14925015026997818,0.331987410567367,0.13918238511194003,0.3302307023367758,0.8821474431588909,0.1589476946601924,0.40625,0.43373493975903615,0.5538461538461539,0.25396825396825395,0.4864864864864865,0.38144078144078153,False
0.85,0.19652257788664002,0.37933748114502364,0.5395772670726908,0.4733649300916998,0.1841463250953057,0.3696087865329247,0.1841463250953057,0.3696087865329247,0.17576949544009934,0.3691982560005321,0.9181354456649171,0.1279457674249458,0.4140625,0.43243243243243246,0.49230769230769234,0.3333333333333333,0.460431654676259,0.38144078144078153,False
0.9,0.23583795832682486,0.41236859023300276,0.5239801510673462,0.4850255001870383,0.22546786807262575,0.40670387992723706,0.22546786807262575,0.40670387992723706,0.21944502475457325,0.40696941914492313,0.9542685744494128,0.08961993400699904,0.3984375,0.4,0.36923076923076925,0.42857142857142855,0.384,0.38144078144078153,True
