epoch,train_loss,val_loss,val_forged_dice_t050,val_q1_dice_t050,val_q2_dice_t050,val_smallmask_score_t050,lr,grad_accumulation_steps,batch_size,pos_weight,training_time_sec_total
19,0.623405876164978,0.6202141755773115,0.3662264617946816,0.2452922469821641,0.2846326697096206,0.3136274389339142,5e-05,2,4,20.0,4730.273862123489
20,0.6262689314799214,0.6232265936311825,0.3752867574037806,0.25574058410195466,0.29264031543494556,0.3228936170194658,2.5e-05,2,4,20.0,4730.273862123489
21,0.6120196573917478,0.6202536620372949,0.39135189845835056,0.27757590010344035,0.314849171043161,0.3419185534688396,2.5e-05,2,4,20.0,4730.273862123489
22,0.6146837910658002,0.6170777052409889,0.3876672873747198,0.2767477138838128,0.3115831312927475,0.3391745841110532,2.5e-05,2,4,20.0,4730.273862123489
23,0.6040746271278385,0.6182475344155186,0.38967439487317984,0.26806464673585306,0.30087192066368973,0.3354309755900838,2.5e-05,2,4,20.0,4730.273862123489
24,0.60066072891709,0.6058050851489223,0.4004534088382599,0.28209163237687834,0.3029333389461041,0.3454408619214143,2.5e-05,2,4,20.0,4730.273862123489
25,0.5968238645977857,0.6047049356523411,0.4013681844822677,0.2910800389574269,0.3035229921199788,0.3487127023523577,2.5e-05,2,4,20.0,4730.273862123489
26,0.5952092511019357,0.6059399743874868,0.3998085729531344,0.2776049019387601,0.3124158628550461,0.3456689296292044,2.5e-05,2,4,20.0,4730.273862123489
27,0.5950824058467402,0.6083973329658656,0.39972794977801357,0.26851279164146574,0.31370254079242166,0.3431583205399308,2.5e-05,2,4,20.0,4730.273862123489
28,0.5931888945516871,0.624764426041019,0.4022337273663556,0.29422998201744577,0.31569271811154276,0.3525244019107201,2.5e-05,2,4,20.0,4730.273862123489
29,0.5908811867303466,0.6061260730259178,0.4083170937686473,0.28579129121401664,0.3101615233698397,0.3519282389224966,2.5e-05,2,4,20.0,4730.273862123489
30,0.5834691843105053,0.6051407615805782,0.40633337340488196,0.3052088117818011,0.3015188243549107,0.3550330951079635,2.5e-05,2,4,20.0,4730.273862123489
31,0.5801412569387984,0.609713885442231,0.4071365492366308,0.29216836173276695,0.31273417752917937,0.35376561864398137,2.5e-05,2,4,20.0,4730.273862123489
32,0.580429749194126,0.6137343012085257,0.4123762905885111,0.2968140978501787,0.3231110037052069,0.3598545753903506,2.5e-05,2,4,20.0,4730.273862123489
33,0.5825528155987406,0.6062019183192142,0.4224210576034335,0.30808312862129306,0.331458780853362,0.36992722355877705,2.5e-05,2,4,20.0,4730.273862123489
34,0.5774969282686577,0.5998892252759416,0.41844256994859413,0.3000429239541865,0.3303847637257387,0.3653111149057008,2.5e-05,2,4,20.0,4730.273862123489
35,0.5704229242087473,0.6069035811941753,0.4226855824176048,0.32149270195411805,0.3299987583579525,0.3737903534666283,2.5e-05,2,4,20.0,4730.273862123489
36,0.5778597372279135,0.6027468392091204,0.4254828537341474,0.3202868162835189,0.32681845953631855,0.3741911636593931,2.5e-05,2,4,20.0,4730.273862123489
37,0.5764309595316184,0.6209048686563506,0.42330756758741317,0.3099561435260408,0.33446770110688817,0.37153416707289644,2.5e-05,2,4,20.0,4730.273862123489
38,0.5783147121922741,0.5997851604177046,0.4249078199341922,0.31404451235079406,0.32373138433554693,0.3714135405394437,2.5e-05,2,4,20.0,4730.273862123489
39,0.5670874468932439,0.6033991115499836,0.4296564764508085,0.3192049246575355,0.33540720083987374,0.37767115579063965,2.5e-05,2,4,20.0,4730.273862123489
40,0.566424293514084,0.6156316783077033,0.42307903606047337,0.3242519264594147,0.31405572352720623,0.37162624067350236,2.5e-05,2,4,20.0,4730.273862123489
