mask_quartile,n,mean_dice,median_dice,mean_iou,median_iou,dice_lt_005_count,dice_lt_010_count,mean_pred_area_ratio,mean_gt_area_ratio
Q1,138,0.27668516484781513,0.20529481996032212,0.19570289750074255,0.11442908750498174,65,67,0.010197932785451893,0.011097783627717392
Q2,138,0.3249351935693173,0.3358278466873509,0.23863976097847986,0.20180751273499278,53,53,0.046332809276242955,0.033644180174994966
Q3,137,0.4398551739287181,0.5266251860918173,0.3290717594728848,0.3574278460057131,35,36,0.09478517209042985,0.07501260304199615
Q4,138,0.6921767602785507,0.736314979949856,0.5770184120225411,0.5826873540182547,10,10,0.1223438895650916,0.10078584975090579
