mask_quartile,n,mean_dice,median_dice,mean_iou,median_iou,dice_lt_005_count,dice_lt_010_count,mean_pred_area_ratio,mean_gt_area_ratio
Q1,138,0.306554456860081,0.3097338225466275,0.20677063168711854,0.1832458107851364,37,43,0.025438981355676328,0.011097783627717392
Q2,138,0.35307440985437843,0.35872119454440143,0.24845087904114152,0.2185666832428388,32,33,0.0967146770581723,0.033644180174994966
Q3,137,0.4405103667874911,0.48622167792490983,0.3211796744066842,0.3211974110581555,25,25,0.1630845514623885,0.07501260304199615
Q4,138,0.6709904251178028,0.7111847274666152,0.5466293985263946,0.5518181769495933,8,10,0.15211789043629226,0.10078584975090579
